date,project,channel,leads,pu_records,pu_attended,sales_count,revenue,doplaty
2026-09-01,Варламова,оффлайн,76,30,17,4,1120000,0
2026-09-01,Самал,оффлайн,44,17,10,2,560000,0
2026-09-01,Астана,оффлайн,22,9,5,1,280000,0
2026-09-01,Онлайн,онлайн,64,26,14,2,420000,0
2026-09-02,Варламова,оффлайн,80,32,18,4,1120000,50000
2026-09-02,Самал,оффлайн,40,16,9,2,560000,0
2026-09-02,Астана,оффлайн,20,8,4,1,280000,0
2026-09-02,Онлайн,онлайн,70,28,15,3,630000,0
2026-09-03,Варламова,оффлайн,60,24,13,3,840000,0
2026-09-03,Самал,оффлайн,35,14,8,1,280000,20000
2026-09-03,Астана,оффлайн,18,7,4,0,0,0
2026-09-03,Онлайн,онлайн,55,22,12,2,420000,0
