date,project,converted_count,converted_amount
2026-09-03,Варламова,2,697760
2026-09-06,Варламова,3,1124580
2026-09-07,Варламова,1,20000
2026-09-08,Варламова,2,478720
2026-09-09,Варламова,1,124600
2026-09-04,Самал,1,224280
2026-09-07,Самал,3,1288320
2026-09-08,Самал,2,443580
2026-09-09,Самал,1,194040
2026-09-07,Астана,1,124600
2026-09-08,Астана,1,124600
2026-09-09,Астана,3,1122280
2026-09-10,Астана,1,348880
2026-09-01,Онлайн,2,912660
2026-09-02,Онлайн,3,754600
2026-09-03,Онлайн,8,1882150
2026-09-04,Онлайн,5,1284920
2026-09-05,Онлайн,2,733040
2026-09-06,Онлайн,2,732120
2026-09-07,Онлайн,1,107800
2026-09-08,Онлайн,3,941080
2026-09-09,Онлайн,1,172480
2026-09-10,Онлайн,4,1346456
