date,project,pu_records,pu_attended
2026-09-01,Варламова,0,0
2026-09-01,Самал,8,8
2026-09-01,Астана,6,5
2026-09-01,Онлайн,25,22
2026-09-02,Варламова,6,4
2026-09-02,Самал,0,0
2026-09-02,Астана,8,5
2026-09-02,Онлайн,27,19
2026-09-03,Варламова,0,0
2026-09-03,Самал,7,7
2026-09-03,Астана,0,0
2026-09-03,Онлайн,29,18
2026-09-04,Варламова,9,5
2026-09-04,Самал,0,0
2026-09-04,Астана,8,2
2026-09-04,Онлайн,25,13
2026-09-05,Варламова,11,9
2026-09-05,Самал,0,0
2026-09-05,Астана,0,0
2026-09-05,Онлайн,13,5
2026-09-06,Варламова,0,0
2026-09-06,Самал,0,0
2026-09-06,Астана,0,0
2026-09-06,Онлайн,0,0
2026-09-07,Варламова,5,3
2026-09-07,Самал,5,5
2026-09-07,Астана,9,3
2026-09-07,Онлайн,30,10
2026-09-08,Варламова,9,5
2026-09-08,Самал,3,3
2026-09-08,Астана,7,4
2026-09-08,Онлайн,24,11
2026-09-09,Варламова,7,5
2026-09-09,Самал,0,0
2026-09-09,Астана,9,6
2026-09-09,Онлайн,27,18
2026-09-10,Варламова,3,2
2026-09-10,Самал,5,4
2026-09-10,Астана,3,2
2026-09-10,Онлайн,16,11
